root,pos,common
-a,suf,True
aboni,misc,False
-aĉ,suf,True
aĉeti,misc,True
-ad,suf,True
adreso,N,True
aero,N,True
afabla,A,False
afero,N,True
agi,misc,True
agrabla,A,False
aĝo,N,True
ajn,misc,False
-aĵ,suf,True
akcepti,misc,True
akra,A,False
aktiva,A,False
akvo,N,True
al,misc,True
alia,A,True
almenaŭ,misc,False
alta,A,True
ami,misc,True
amaso,N,False
ambaŭ,misc,False
amiko,N,True
amuzi,misc,False
-an,suf,True
angulo,N,False
animo,N,False
ankaŭ,misc,True
ankoraŭ,misc,True
anonci,misc,False
anstataŭ,misc,True
-ant,suf,True
antaŭ,misc,True
aparato,N,False
aparta,A,True
aparteni,VI,False
apenaŭ,misc,False
aperi,VI,False
aprilo,N,True
apud,misc,True
-ar,suf,True
aranĝi,misc,False
arbo,N,False
arto,N,True
artikolo,N,True
-as,suf,True
asocio,N,True
aspekti,VI,False
-at,suf,True
ataki,misc,False
atendi,misc,False
atenta,A,True
atingi,misc,False
aŭgusto,N,True
avo,N,False
aŭ,misc,False
aŭdi,misc,False
aŭskulti,misc,False
aŭt,misc,False
aŭtobuso,N,False
aŭtuno,N,False
azeno,N,False
baldaŭ,misc,True
bani,misc,False
bari,misc,False
bati,misc,False
batali,VI,False
bazo,N,False
bedaŭri,misc,False
bela,A,True
besto,N,True
bezoni,misc,True
biblioteko,N,False
bicikli,misc,False
biero,N,False
bildo,N,True
bileto,N,False
birdo,N,True
blanka,A,False
blovi,misc,False
blua,A,False
bo-,pre,True
boli,VI,False
bona,A,True
bordo,N,False
botelo,N,False
bovo,N,False
brako,N,False
brili,misc,True
broso,N,False
brui,VI,False
bruli,VI,False
bruna,A,False
brusto,N,False
buŝo,N,False
butero,N,False
butono,N,False
celo,N,True
cent,misc,True
centro,N,False
cerbo,N,False
certa,A,True
cetera,A,False
cigaredo,N,False
cirklo,N,False
ĉambro,N,True
ĉapelo,N,False
ĉar,misc,True
ĉe,misc,True
ĉefa,A,True
ĉemizo,N,False
ĉesi,VI,False
ĉevalo,N,False
ĉi,misc,True
ĉia,A,False
ĉiam,misc,True
ĉie,misc,True
ĉielo,N,True
ĉio,N,True
ĉirkaŭ,misc,True
ĉiu,misc,True
ĉu,misc,True
da,A,True
danci,VI,False
danĝero,N,False
danki,misc,True
daŭri,misc,True
de,misc,True
decembro,N,True
decidi,misc,True
defendi,misc,False
dek,misc,True
dekstra,A,True
demandi,misc,True
densa,A,False
dento,N,False
desegni,misc,True
detalo,N,False
devi,misc,True
deziri,misc,True
dio,N,False
diferenci,VI,False
difini,misc,False
dika,A,True
dimanĉo,N,True
diri,misc,True
direkto,N,True
dis-,pre,True
disko,N,False
diskuti,VI,False
diversa,A,True
dividi,misc,False
do,N,True
doktoro,N,True
dolĉa,A,True
dolori,misc,False
domo,N,True
domaĝo,N,False
doni,misc,False
donaci,misc,False
dormi,misc,True
dorso,N,False
drato,N,False
du,misc,True
dubi,misc,False
dum,misc,True
dungi,misc,False
-e,suf,True
ebena,A,False
-ebl,suf,True
-ec,suf,True
eĉ,misc,True
eduki,misc,True
edzo,N,True
efektiva,A,False
efiki,VI,False
-eg,suf,True
egala,A,False
-ej,suf,True
ek-,pre,True
ekonomio,N,False
ekskurso,N,False
ekspozicio,N,False
ekster,misc,True
ekzameni,misc,False
ekzemplo,N,True
ekzerci,misc,False
ekzisti,misc,True
el,misc,True
elekti,misc,True
elektro,N,False
-em,suf,True
emocio,N,False
en,misc,True
energio,N,False
-er,suf,True
erari,VI,False
esperi,misc,True
esplori,misc,False
esprimi,misc,False
esti,misc,False
estimi,misc,False
-estr,suf,True
-et,suf,True
eventuala,A,False
evolui,VI,False
facila,A,True
fadeno,N,False
fajro,N,False
fako,N,True
fakto,N,True
fakturo,N,False
fali,misc,True
fama,A,False
familio,N,True
fari,misc,True
farti,VI,False
februaro,N,True
feliĉa,A,True
fenestro,N,True
fero,N,False
ferio,N,False
fermi,misc,True
festi,misc,True
fiksi,misc,False
filo,N,True
filmo,N,True
fini,misc,True
fingro,N,False
fiŝo,N,True
flago,N,False
flanko,N,True
flava,A,False
floro,N,True
flui,VI,False
flugi,misc,True
fojo,N,True
folio,N,False
fondi,misc,False
fonto,N,False
for,misc,True
forgesi,misc,True
forko,N,False
formo,N,True
forta,A,True
fosi,misc,False
foti,misc,True
frapi,misc,True
frato,N,True
fraŭlo,N,False
fremda,A,False
freneza,A,False
freŝa,A,False
frosto,N,False
frua,A,True
frukto,N,False
fulmo,N,False
fumo,N,False
funkcio,N,True
fuŝi,misc,False
gaja,A,False
gajni,misc,False
gaso,N,False
gasto,N,False
gazeto,N,True
ge-,pre,True
glacio,N,False
glaso,N,True
gliti,VI,False
granda,A,True
graso,N,False
gratuli,misc,False
grava,A,True
greno,N,False
griza,A,False
grupo,N,True
gusto,N,False
gvidi,misc,False
ĝardeno,N,False
ĝeni,misc,False
ĝenerala,A,True
ĝentila,A,False
ĝis,misc,True
ĝoji,VI,False
ĝui,misc,False
ĝusta,A,True
ha,A,False
halti,VI,False
haro,N,False
havi,misc,True
haveno,N,False
haŭto,N,False
hejmo,N,True
hela,A,False
